Algorithm,Total of addresses tested,Total of correct variations tested,Total of wrong variations tested,Total of matches found,True positives,False positives,Time taken ms,success rate %
direct_matching,4,25,25,0,0,0,0.009000000000000001,0.0
levenshtein_matching,4,25,25,17,15,2,0.705,88.23529411764706
difflib_matching,4,25,25,27,25,2,1.5230000000000001,92.5925925925926
fuzzywuzzy_matching,4,25,25,27,25,2,0.7010000000000001,92.5925925925926
jaro_winkler_matching,4,25,25,27,25,2,0.62,92.5925925925926
